courseName,certification,description,image,status
Trainers Methodology,LV I,"Equips trainers with the necessary skills to deliver training sessions effectively, including lesson planning, classroom management, and student assessment techniques.",Trainers Methodology Level 1,Available
Facilitate e-Learning Session,,"Equips individuals with the skills to effectively deliver e-learning sessions, ensuring active participation, engagement, and the use of appropriate online tools and platforms for virtual learning environments. It also focuses on managing technical issues and providing support to learners in an online setting.",Facilitate e-Learning Session,Available
Trainers Methodology Level II Develop E-learning Materials,LV II,Focuses on designing and developing e-learning modules and instructional materials for online training environments.,Trainers Methodology Level II Develop E-learning Materials,Available
Agricultural Crops Production,NC I,"Teaches the basics of cultivating, managing, and harvesting agricultural crops for sustainable farming practices.",Agricultural Crops Production NC I,Available
Automotive Servicing,NC I,"Covers basic automotive maintenance and repair, including inspecting and troubleshooting vehicle systems.",Automotive Servicing NC I,Available
Automotive Servicing,NC II,"Provides advanced training in diagnosing, repairing, and maintaining complex automotive systems and components.",Automotive Servicing NC II,Available
Barangay 0Health Services,NC II,"Prepares individuals to deliver essential health services within the community, including first aid, health education, and disease prevention.",Barangay 0Health Services NC II,Available
Barista,NC II,"Focuses on the preparation and presentation of coffee-based beverages, emphasizing quality service and barista techniques.",Barista NC II,Available
Bartending,NC II,"Teaches the art of mixing and serving cocktails, maintaining bar equipment, and managing bar operations.",Bartending NC II,Available
Bread and Pastry Production,NC II,"Covers the preparation, baking, and presentation of a wide range of bread and pastry products.",Bread and Pastry Production NC II,Available
Carpentry,NC II,"Provides skills in constructing, repairing, and maintaining wooden structures, including furniture and building frameworks.",Carpentry NC II,Available
CNC Lathe Machine Operation,NC II,Focuses on operating CNC lathe machines to produce precision components and meet manufacturing standards.,CNC Lathe Machine Operation NC II,Available
CNC Milling Machine Operation,NC II,Trains individuals in using CNC milling machines to create complex parts and components with high accuracy.,CNC Milling Machine Operation NC II,Available
Commercial Cooking,NC III,"Covers advanced cooking techniques, menu planning, and the preparation of a wide variety of cuisines for commercial establishments.",Commercial Cooking NC III,Available
Commercial Cooking,NC IV,"Provides in-depth training in managing kitchen operations, supervising kitchen staff, and ensuring food safety standards.",Commercial Cooking NC IV,Available
Computer Systems Servicing,NC II,"Teaches basic skills in troubleshooting, repairing, and maintaining computer hardware and software systems.",Computer Systems Servicing NC II,Available
Construction Painting,NC II,"Focuses on surface preparation, painting techniques, and the use of various painting tools and materials for construction projects.",Construction Painting NC II,Available
